1.776409149169921875e-02,5.358579077429983499e+02,2.275333607907743101e+02
1.057829856872558594e-01,5.663540467970847203e+02,2.217314921365554312e+02
1.574184894561767578e-01,5.905500826446281053e+02,2.142899173553718981e+02
2.150719165802001953e-01,6.096264383946112275e+02,2.063522312657872533e+02
2.652332782745361328e-01,6.193793985924504568e+02,1.993694817658349336e+02
3.153665065765380859e-01,6.233649402390437899e+02,1.965657370517928371e+02
3.449451923370361328e-01,6.247847932414406387e+02,1.967096487327701198e+02
3.765294551849365234e-01,6.235019794140933982e+02,1.988895486935867041e+02
4.076120853424072266e-01,6.192370580808080831e+02,2.034551767676767611e+02
4.655802249908447266e-01,6.091622769753611237e+02,2.114599263664684088e+02
5.364584922790527344e-01,5.878183901460899961e+02,2.137072472071039897e+02
5.830788612365722656e-01,5.611374590895567280e+02,2.213612020232073689e+02
6.231856346130371094e-01,5.290327011118378095e+02,2.295735775016350431e+02
6.743214130401611328e-01,4.919552287581699375e+02,2.430741830065359466e+02
7.219479084014892578e-01,4.504720558882235650e+02,2.501117764471057967e+02
7.645614147186279297e-01,4.084950232249502164e+02,2.529044459190444627e+02
8.131909370422363281e-01,3.733231159703240678e+02,2.531069894572432588e+02
8.628222942352294922e-01,3.286444012630556131e+02,2.507294146222977815e+02
9.104490280151367188e-01,2.856056790784891746e+02,2.465762121618001572e+02
9.580755233764648438e-01,2.464726354941551563e+02,2.413581296493092339e+02
9.968492984771728516e-01,2.105713188220230450e+02,2.351836107554417481e+02
1.049488782882690430e+00,1.783560950935761298e+02,2.273841679312089070e+02
1.096613883972167969e+00,1.511671597633136059e+02,2.181913214990138101e+02
1.148278951644897461e+00,1.287655571635311276e+02,2.103005306319344072e+02
1.207645416259765625e+00,1.113088026502602901e+02,2.043999053478466692e+02
1.257752418518066406e+00,9.928023255813953085e+01,2.003753488372093159e+02
1.306409120559692383e+00,9.259939548942107024e+01,1.983885142990002350e+02
1.376690149307250977e+00,9.194987176498018755e+01,1.975742597342037641e+02
1.436414480209350586e+00,9.655035294117647027e+01,1.988818823529411759e+02
1.504530906677246094e+00,1.065300887077439427e+02,2.030553824023016034e+02
1.557768583297729492e+00,1.222297230464886297e+02,2.080467359050444998e+02
1.621938705444335938e+00,1.428416666666666686e+02,2.141838383838383777e+02
1.675579309463500977e+00,1.685202086049543766e+02,2.208187744458930979e+02
1.724255084991455078e+00,1.985474254742547373e+02,2.274268292682926926e+02
